ms,seg,mouseX,mouseY,L,T,R,B,W,H
35,top-R1,1331,3,1016,0,1646,510,630,510
55,top-R1,1382,3,1016,0,1646,510,630,510
70,top-R1,1433,3,1016,0,1646,510,630,510
85,top-R1,1484,3,1016,0,1646,510,630,510
101,top-R1,1535,3,1220,0,1850,510,630,510
117,top-R1,1586,3,1220,0,1850,510,630,510
132,top-R1,1638,3,1323,0,1953,510,630,510
148,top-R1,1689,3,1323,0,1953,510,630,510
164,top-R1,1740,3,1425,0,2055,510,630,510
180,top-R1,1791,3,1425,0,2055,510,630,510
196,top-R1,1842,3,1527,0,2157,510,630,510
212,top-R1,1893,3,1527,0,2157,510,630,510
227,top-R1,1944,3,1628,0,2258,510,630,510
242,top-R1,1995,3,1680,0,2310,510,630,510
258,top-R1,2046,3,1680,0,2310,510,630,510
273,top-R1,2097,3,1782,0,2412,510,630,510
288,top-R1,2148,3,1782,0,2412,510,630,510
304,top-R1,2199,3,1884,0,2514,510,630,510
320,top-R1,2251,3,1884,0,2514,510,630,510
335,top-R1,2302,3,1930,0,2560,510,630,510
351,top-R1,2353,3,1930,0,2560,510,630,510
381,top-R1,2404,3,1930,0,2560,510,630,510
397,top-R1,2455,3,1930,0,2560,510,630,510
412,top-R1,2506,3,1930,0,2560,510,630,510
427,top-R1,2557,3,1930,0,2560,510,630,510
442,right-R1,2557,54,1578,-510,2208,0,630,510
458,right-R1,2557,106,1578,-510,2208,0,630,510
473,right-R1,2557,157,1578,-301,2208,209,630,510
489,right-R1,2557,209,1578,-65,2208,445,630,510
505,right-R1,2557,260,1578,-65,2208,445,630,510
520,right-R1,2557,312,1578,-2,2208,508,630,510
536,right-R1,2557,363,1578,-2,2208,508,630,510
552,right-R1,2557,414,1578,0,2208,510,630,510
567,right-R1,2557,466,1578,0,2208,510,630,510
582,right-R1,2557,517,1578,0,2208,510,630,510
598,right-R1,2557,569,1578,0,2208,510,630,510
614,right-R1,2557,620,1578,0,2208,510,630,510
629,right-R1,2557,671,1930,416,2560,926,630,510
645,right-R1,2557,723,1930,416,2560,926,630,510
661,right-R1,2557,774,1817,416,2447,926,630,510
677,right-R1,2557,826,1682,416,2312,926,630,510
692,right-R1,2557,877,1610,416,2240,926,630,510
708,right-R1,2557,929,1584,416,2214,926,630,510
723,right-R1,2557,980,1930,725,2560,1235,630,510
739,right-R1,2557,1031,1930,725,2560,1235,630,510
755,right-R1,2557,1083,1930,725,2560,1235,630,510
770,right-R1,2557,1134,1626,834,2560,1359,934,525
786,right-R1,2557,1186,1578,416,2512,941,934,525
801,right-R1,2557,1237,1578,416,2512,941,934,525
816,right-R1,2557,1288,1578,416,2512,941,934,525
832,right-R1,2557,1340,1578,416,2512,941,934,525
848,right-R1,2557,1391,1578,416,2512,941,934,525
863,right-R1,2557,1443,1930,1600,2864,2125,934,525
879,right-R1,2557,1494,1930,1600,2864,2125,934,525
894,right-R1,2557,1546,1626,1075,2560,1600,934,525
911,right-R1,2557,1597,1626,1075,2560,1600,934,525
926,bottom-R1,2506,1597,1626,1075,2529,1600,903,525
942,bottom-R1,2455,1597,1930,924,2779,1449,849,525
957,bottom-R1,2404,1597,1930,924,2596,1449,666,525
973,bottom-R1,2353,1597,1930,924,2462,1449,532,525
988,bottom-R1,2302,1597,1930,924,2444,1449,514,525
1004,bottom-R1,2251,1597,1930,924,2440,1353,510,429
1020,bottom-R1,2199,1597,1930,1075,2440,1467,510,392
1036,bottom-R1,2148,1597,1930,1075,2440,1465,510,390
1052,bottom-R1,2097,1597,1846,1137,2356,1527,510,390
1068,bottom-R1,2046,1597,1791,1138,2301,1528,510,390
1083,bottom-R1,1995,1597,1740,1138,2250,1528,510,390
1098,bottom-R1,1944,1597,1740,1138,2250,1528,510,390
1114,bottom-R1,1893,1597,1638,1138,2148,1528,510,390
1130,bottom-R1,1842,1597,1638,1138,2148,1528,510,390
1144,bottom-R1,1791,1597,1638,1138,2148,1528,510,390
1158,bottom-R1,1740,1597,1638,1138,2148,1528,510,390
1174,bottom-R1,1689,1597,1447,1138,1957,1528,510,390
1190,bottom-R1,1638,1597,1383,1138,1893,1528,510,390
1205,bottom-R1,1586,1597,1331,1138,1841,1528,510,390
1221,bottom-R1,1535,1597,1280,1138,1790,1528,510,390
1236,bottom-R1,1484,1597,1229,1138,1739,1528,510,390
1252,bottom-R1,1433,1597,1178,1138,1688,1528,510,390
1267,bottom-R1,1382,1597,1127,1138,1637,1528,510,390
1283,bottom-R1,1331,1597,1076,1138,1586,1528,510,390
1298,bottom-R1,1280,1597,1025,1138,1535,1528,510,390
1313,bottom-R1,1229,1597,974,1138,1484,1528,510,390
1329,bottom-R1,1178,1597,923,1138,1433,1528,510,390
1344,bottom-R1,1127,1597,872,1138,1382,1528,510,390
1360,bottom-R1,1076,1597,821,1138,1331,1528,510,390
1376,bottom-R1,1025,1597,821,1138,1331,1528,510,390
1391,bottom-R1,974,1597,719,1138,1229,1528,510,390
1407,bottom-R1,922,1597,667,1138,1177,1528,510,390
1422,bottom-R1,871,1597,616,1138,1126,1528,510,390
1438,bottom-R1,820,1597,565,1138,1075,1528,510,390
1453,bottom-R1,769,1597,514,1138,1024,1528,510,390
1469,bottom-R1,718,1597,463,1138,973,1528,510,390
1484,bottom-R1,667,1597,412,1138,922,1528,510,390
1499,bottom-R1,616,1597,361,1138,871,1528,510,390
1515,bottom-R1,565,1597,310,1138,820,1528,510,390
1530,bottom-R1,514,1597,259,1138,769,1528,510,390
1545,bottom-R1,463,1597,208,1138,718,1528,510,390
1561,bottom-R1,412,1597,157,1138,667,1528,510,390
1577,bottom-R1,361,1597,157,1138,667,1528,510,390
1592,bottom-R1,309,1597,54,1138,564,1528,510,390
1608,bottom-R1,258,1597,3,1138,513,1528,510,390
1624,bottom-R1,207,1597,0,1138,510,1528,510,390
1640,bottom-R1,156,1597,0,1138,510,1528,510,390
1655,bottom-R1,105,1597,0,1138,510,1528,510,390
1671,bottom-R1,54,1597,0,1138,510,1528,510,390
1687,bottom-R1,3,1597,0,0,510,390,510,390
1703,left-R1,3,1546,0,1555,510,1945,510,390
1718,left-R1,3,1494,0,1555,510,1945,510,390
1735,left-R1,3,1443,0,1298,510,1688,510,390
1750,left-R1,3,1391,0,1240,510,1630,510,390
1765,left-R1,3,1340,0,1240,510,1630,510,390
1780,left-R1,3,1288,0,1224,510,1614,510,390
1796,left-R1,3,1237,0,1042,510,1432,510,390
1811,left-R1,3,1186,0,991,510,1381,510,390
1826,left-R1,3,1134,0,991,510,1381,510,390
1842,left-R1,3,1083,0,888,510,1278,510,390
1857,left-R1,3,1031,0,836,510,1226,510,390
1873,left-R1,3,980,0,785,510,1175,510,390
1889,left-R1,3,929,0,734,510,1124,510,390
1904,left-R1,3,877,0,682,510,1072,510,390
1919,left-R1,3,826,0,631,510,1021,510,390
1936,left-R1,3,774,0,579,510,969,510,390
1951,left-R1,3,723,0,579,510,969,510,390
1966,left-R1,3,671,0,476,510,866,510,390
1981,left-R1,3,620,0,425,510,815,510,390
1998,left-R1,3,569,0,374,510,764,510,390
2014,left-R1,3,517,0,322,510,712,510,390
2029,left-R1,3,466,0,271,510,661,510,390
2045,left-R1,3,414,0,219,510,609,510,390
2059,left-R1,3,363,0,168,510,558,510,390
2089,left-R1,3,312,0,117,510,507,510,390
2120,left-R1,3,260,0,65,510,455,510,390
2151,left-R1,3,209,0,14,510,404,510,390
2183,left-R1,3,157,0,0,510,390,510,390
2214,left-R1,3,106,0,0,510,390,510,390
2230,left-R1,3,54,0,0,510,390,510,390
2260,left-R1,3,3,0,0,510,390,510,390
2276,top-R2,1331,3,1076,-390,1586,0,510,390
2292,top-R2,1382,3,1076,-390,1586,0,510,390
2324,top-R2,1433,3,1076,-230,1586,160,510,390
2354,top-R2,1484,3,1076,-105,1586,285,510,390
2385,top-R2,1535,3,1076,-50,1586,340,510,390
2399,top-R2,1586,3,1331,-390,1841,0,510,390
2415,top-R2,1638,3,1331,-390,1841,0,510,390
2431,top-R2,1689,3,1076,0,1586,390,510,390
2447,top-R2,1740,3,1076,0,1586,390,510,390
2462,top-R2,1791,3,1536,-390,2046,0,510,390
2477,top-R2,1842,3,1536,-390,2046,0,510,390
2493,top-R2,1893,3,1076,0,1586,390,510,390
2508,top-R2,1944,3,1076,0,1586,390,510,390
2524,top-R2,1995,3,1076,0,1586,390,510,390
2540,top-R2,2046,3,1076,0,1586,390,510,390
2555,top-R2,2097,3,1076,0,1586,390,510,390
2571,top-R2,2148,3,1893,-390,2403,0,510,390
2587,top-R2,2199,3,1893,-390,2403,0,510,390
2601,top-R2,2251,3,1893,-117,2403,273,510,390
2616,top-R2,2302,3,1893,-117,2403,273,510,390
2631,top-R2,2353,3,1536,0,2046,390,510,390
2647,top-R2,2404,3,1536,0,2046,390,510,390
2662,top-R2,2455,3,1536,0,2046,390,510,390
2677,top-R2,2506,3,2050,-390,2560,0,510,390
2692,top-R2,2557,3,2050,-390,2560,0,510,390
