11,0,0,630,600
34,0,0,630,600
50,0,0,630,600
65,0,60,630,660
80,0,140,630,740
97,0,140,630,740
111,0,140,630,740
128,0,140,630,740
144,0,380,630,980
159,0,380,633,980
177,0,597,635,1197
191,0,683,635,1283
207,0,761,636,1361
223,0,761,637,1361
248,0,914,637,1549
274,0,958,637,1598
285,0,960,637,1600
301,0,1400,637,2040
316,0,1400,637,2040
332,0,1600,637,2240
348,0,1600,637,2240
363,0,760,637,1400
379,-637,680,0,1320
394,-124,620,513,1260
410,-2,522,635,1162
425,0,447,635,1087
441,0,369,633,1009
457,0,960,632,1600
473,0,255,631,895
488,0,139,631,779
503,0,291,630,931
519,0,5,630,606
536,0,680,630,1280
551,0,0,630,600
565,0,-466,630,134
582,0,-466,630,134
596,0,-120,630,480
612,0,-4,630,596
628,0,0,630,600
643,-630,380,0,980
660,-630,380,0,980
675,-288,380,342,980
690,-23,380,607,980
705,-2,380,628,980
722,0,0,630,600
739,0,0,630,600
753,0,0,630,600
769,0,0,630,600
786,0,0,630,600
801,0,0,630,600
816,0,380,630,980
832,0,380,630,980
860,0,380,630,980
879,0,380,630,980
896,0,380,630,980
912,0,380,630,980
927,0,380,630,980
944,0,380,630,980
958,0,380,630,980
974,0,300,630,900
989,0,220,630,820
1005,0,220,630,820
1021,0,60,630,660
1037,0,0,630,600
1053,0,0,630,600
1068,0,0,630,600
1084,0,0,630,600
1098,0,60,630,660
1114,0,140,630,740
1130,0,220,630,820
1145,0,300,630,900
1162,0,300,630,900
1176,0,460,630,1060
1192,0,460,630,1060
1207,0,620,630,1220
1223,0,700,630,1300
1239,0,780,630,1380
1254,0,860,630,1460
1271,0,860,630,1460
1286,0,1000,630,1600
1301,0,1000,630,1600
1317,0,1000,630,1600
1334,0,1000,630,1600
1348,0,940,630,1540
1362,0,860,630,1460
1378,0,860,630,1460
1394,0,700,630,1300
1410,0,620,630,1220
1425,0,540,630,1140
1440,0,460,630,1060
1455,0,380,630,980
1471,0,300,630,900
1486,0,220,630,820
1502,0,140,630,740
1518,0,60,630,660
1533,0,0,630,600
1548,0,0,630,600
1564,0,0,630,600
1580,0,0,630,600
1596,0,60,630,660
1611,0,140,630,740
1627,0,220,630,820
1641,0,300,630,900
1658,0,380,630,980
1673,0,460,630,1060
1689,0,540,630,1140
1704,0,620,630,1220
1719,0,700,630,1300
1735,0,780,630,1380
1749,0,860,630,1460
1765,0,940,630,1540
1781,0,1000,630,1600
1798,0,1000,630,1600
1813,0,1000,630,1600
1828,0,1000,630,1600
1843,0,940,630,1540
1858,0,860,630,1460
1874,0,780,630,1380
1889,0,780,630,1380
1906,0,780,630,1380
1921,0,780,630,1380
1937,0,460,630,1060
1952,0,380,630,980
1968,0,300,630,900
1983,0,220,630,820
1998,0,140,630,740
2014,0,60,630,660
2030,0,0,630,600
