ms,seg,mouseX,mouseY,L,T,R,B,W,H
1784,left-R1,3,1288,-233,1145,277,1535,510,390
1800,left-R1,3,1237,-107,1145,403,1535,510,390
1815,left-R1,3,1186,-70,1145,440,1535,510,390
1831,left-R1,3,1134,-43,1145,467,1535,510,390
1846,left-R1,3,1083,-43,1145,467,1535,510,390
1861,left-R1,3,1031,-15,1145,495,1535,510,390
1876,left-R1,3,980,-510,785,0,1175,510,390
1892,left-R1,3,929,-396,785,114,1175,510,390
1908,left-R1,3,877,0,1145,510,1535,510,390
1923,left-R1,3,826,0,1145,510,1535,510,390
1938,left-R1,3,774,0,1145,510,1535,510,390
1953,left-R1,3,723,0,1145,510,1535,510,390
1968,left-R1,3,671,-451,476,59,866,510,390
1984,left-R1,3,620,-451,476,59,866,510,390
2000,left-R1,3,569,0,374,510,764,510,390
2015,left-R1,3,517,0,374,510,764,510,390
2031,left-R1,3,466,0,271,510,661,510,390
2046,left-R1,3,414,0,219,510,609,510,390
2061,left-R1,3,363,0,168,510,558,510,390
2076,left-R1,3,312,0,117,510,507,510,390
2092,left-R1,3,260,0,65,510,455,510,390
2108,left-R1,3,209,0,14,510,404,510,390
2123,left-R1,3,157,0,0,510,390,510,390
2139,left-R1,3,106,0,0,510,390,510,390
2154,left-R1,3,54,0,0,510,390,510,390
2169,left-R1,3,3,0,0,510,390,510,390
2187,top-R2,1331,3,1076,-390,1586,0,510,390
2201,top-R2,1382,3,1076,-303,1586,87,510,390
2217,top-R2,1433,3,1076,-183,1586,207,510,390
2233,top-R2,1484,3,1076,-139,1586,251,510,390
2248,top-R2,1535,3,1076,-73,1586,317,510,390
2264,top-R2,1586,3,1076,-61,1586,329,510,390
2279,top-R2,1638,3,1076,-25,1586,365,510,390
2295,top-R2,1689,3,1434,-390,1944,0,510,390
2311,top-R2,1740,3,1434,-179,1944,211,510,390
2326,top-R2,1791,3,1536,0,2046,390,510,390
2342,top-R2,1842,3,1536,0,2046,390,510,390
2358,top-R2,1893,3,1638,0,2148,390,510,390
2372,top-R2,1944,3,1638,0,2148,390,510,390
2388,top-R2,1995,3,1740,0,2250,390,510,390
2403,top-R2,2046,3,1791,0,2301,390,510,390
2418,top-R2,2097,3,1842,0,2352,390,510,390
2434,top-R2,2148,3,1893,0,2403,390,510,390
2449,top-R2,2199,3,1944,0,2454,390,510,390
2465,top-R2,2251,3,1996,0,2506,390,510,390
2480,top-R2,2302,3,2047,0,2557,390,510,390
2510,top-R2,2353,3,2050,0,2560,390,510,390
2526,top-R2,2404,3,2050,0,2560,390,510,390
2557,top-R2,2455,3,2050,0,2560,390,510,390
2587,top-R2,2506,3,2050,0,2560,390,510,390
2603,top-R2,2557,3,2050,0,2560,390,510,390
2618,right-R2,2557,54,2050,-390,2560,0,510,390
2634,right-R2,2557,106,2050,-390,2560,0,510,390
2648,right-R2,2557,157,2050,0,2560,390,510,390
2664,right-R2,2557,209,2050,0,2560,390,510,390
2679,right-R2,2557,260,2050,65,2560,455,510,390
2695,right-R2,2557,312,2050,65,2560,455,510,390
2711,right-R2,2557,363,2050,168,2560,558,510,390
2727,right-R2,2557,414,2050,168,2560,558,510,390
2742,right-R2,2557,466,2050,168,2560,558,510,390
2758,right-R2,2557,517,2050,322,2560,712,510,390
2774,right-R2,2557,569,2050,374,2560,764,510,390
2790,right-R2,2557,620,2050,374,2560,764,510,390
