4,0,538,630,1138
19,0,0,630,600
34,0,0,631,600
56,0,56,633,656
83,0,135,635,735
96,0,215,635,815
113,0,215,636,815
133,0,370,637,970
160,0,455,637,1091
174,0,535,637,1175
191,0,620,637,1260
205,0,679,636,1319
222,0,755,636,1389
238,0,835,634,1469
251,0,915,634,1536
267,0,957,633,1578
284,0,960,637,1600
299,0,960,637,1600
314,0,960,637,1600
330,0,920,637,1560
345,0,840,637,1480
361,0,760,637,1400
377,0,680,637,1320
392,0,600,637,1240
408,0,520,637,1160
423,0,440,637,1080
438,0,360,637,1000
454,0,360,630,960
469,0,220,630,820
485,0,140,630,740
516,0,140,630,740
531,0,0,630,600
548,0,0,630,600
583,0,0,630,600
610,0,0,630,600
640,0,60,630,660
672,0,60,630,660
703,0,220,630,820
718,0,300,630,900
734,0,300,630,900
748,0,460,630,1060
764,0,460,630,1060
779,0,620,630,1220
795,0,620,630,1220
810,0,780,630,1380
825,0,860,630,1460
842,0,860,630,1460
857,0,1000,630,1600
872,0,1000,630,1600
889,0,1000,630,1600
904,0,1000,630,1600
920,0,940,630,1540
936,0,940,630,1540
951,0,780,630,1380
968,0,780,630,1380
983,0,620,630,1220
999,0,620,630,1220
1014,0,460,630,1060
1030,0,460,630,1060
1045,0,300,630,900
1061,0,300,630,900
1076,0,140,630,740
1093,0,140,630,740
1108,0,0,630,600
1140,0,0,630,600
1158,0,0,630,600
1188,0,0,630,600
1218,0,60,630,660
1234,0,140,630,740
1250,0,140,630,740
1281,0,300,630,900
1313,0,380,630,980
1328,0,460,630,1060
1344,0,540,630,1140
1360,0,620,630,1220
1375,0,700,630,1300
1391,0,780,630,1380
1422,0,860,630,1460
1453,0,940,630,1540
1484,0,1000,630,1600
1514,0,1000,630,1600
1530,0,1000,630,1600
1545,0,1000,630,1600
1560,0,940,630,1540
1577,0,940,630,1540
1592,0,780,630,1380
1607,0,780,630,1380
1623,0,620,630,1220
1638,0,540,630,1140
1653,0,540,630,1140
1669,0,380,630,980
1685,0,380,630,980
1700,0,220,630,820
1716,0,220,630,820
1731,0,220,630,820
1747,0,220,630,820
1761,0,-600,630,0
1777,0,-600,630,0
1793,0,-407,630,193
1808,0,-76,630,524
1824,0,-76,630,524
1839,0,-22,630,578
1855,0,-22,630,578
1870,-630,380,0,980
1886,-630,380,0,980
1901,-115,380,515,980
1917,-115,380,515,980
1932,0,0,630,600
1948,0,0,630,600
1964,0,0,630,600
1980,0,0,630,600
1997,0,0,630,600
2012,0,0,630,600
2028,0,0,630,600
2042,0,380,630,980
2058,0,380,630,980
2073,0,380,630,980
2089,0,380,630,980
2105,0,380,630,980
2120,-630,380,0,980
2135,-489,540,141,1140
2152,-489,540,141,1140
2167,-295,540,335,1140
2182,0,1000,630,1600
2198,0,1000,630,1600
2214,0,1000,630,1600
2230,0,1000,630,1600
2246,0,1000,630,1600
