ms,seg,mouseX,mouseY,L,T,R,B,W,H
1711,top2right-R2,1638,226,965,-528,1595,-18,630,510
1726,top2right-R2,1689,258,965,-528,1595,-18,630,510
1742,top2right-R2,1740,290,965,-528,1595,-18,630,510
1757,top2right-R2,1791,322,965,-528,1595,-18,630,510
1772,top2right-R2,1842,354,965,-528,1595,-18,630,510
1788,top2right-R2,1893,386,965,-528,1595,-18,630,510
1803,top2right-R2,1944,417,965,-528,1595,-18,630,510
1819,top2right-R2,1995,449,965,-528,1595,-18,630,510
1834,top2right-R2,2046,481,965,-528,1595,-18,630,510
1850,top2right-R2,2097,513,965,-528,1595,-18,630,510
1866,top2right-R2,2148,545,965,-528,1595,-18,630,510
1881,top2right-R2,2199,577,965,-528,1595,-18,630,510
1896,top2right-R2,2251,609,965,-528,1595,-18,630,510
1912,top2right-R2,2302,641,965,-528,1595,-18,630,510
1927,top2right-R2,2353,672,965,-528,1595,-18,630,510
1942,top2right-R2,2404,704,965,-528,1595,-18,630,510
1958,top2right-R2,2455,736,965,-528,1595,-18,630,510
1973,top2right-R2,2506,768,965,-528,1595,-18,630,510
1989,top2right-R2,2557,800,965,-528,1595,-18,630,510
2005,right2bottom-R2,2506,832,965,-528,1595,-18,630,510
2020,right2bottom-R2,2455,864,965,-528,1595,-18,630,510
2052,right2bottom-R2,2404,896,965,-528,1595,-18,630,510
2067,right2bottom-R2,2353,928,965,-528,1595,-18,630,510
2082,right2bottom-R2,2302,959,965,-528,1595,-18,630,510
2097,right2bottom-R2,2251,991,965,-528,1595,-18,630,510
2113,right2bottom-R2,2199,1023,965,-528,1595,-18,630,510
2129,right2bottom-R2,2148,1055,965,-528,1595,-18,630,510
2144,right2bottom-R2,2097,1087,965,-528,1595,-18,630,510
2160,right2bottom-R2,2046,1119,965,-528,1595,-18,630,510
2175,right2bottom-R2,1995,1151,965,-528,1595,-18,630,510
2191,right2bottom-R2,1944,1183,965,-528,1595,-18,630,510
2207,right2bottom-R2,1893,1214,965,-528,1595,-18,630,510
2223,right2bottom-R2,1842,1246,965,-528,1595,-18,630,510
2237,right2bottom-R2,1791,1278,965,-528,1595,-18,630,510
2253,right2bottom-R2,1740,1310,965,-528,1595,-18,630,510
2283,right2bottom-R2,1689,1342,965,-528,1595,-18,630,510
2314,right2bottom-R2,1638,1374,965,-528,1595,-18,630,510
2328,right2bottom-R2,1586,1406,965,-528,1595,-18,630,510
2344,right2bottom-R2,1535,1438,965,-528,1595,-18,630,510
2360,right2bottom-R2,1484,1469,965,-528,1595,-18,630,510
2375,right2bottom-R2,1433,1501,965,-528,1595,-18,630,510
2390,right2bottom-R2,1382,1533,965,-528,1595,-18,630,510
2406,right2bottom-R2,1331,1565,965,-528,1595,-18,630,510
2422,right2bottom-R2,1280,1597,965,-528,1595,-18,630,510
2437,bottom2left-R2,1229,1565,965,-528,1595,-18,630,510
2454,bottom2left-R2,1178,1533,965,-528,1595,-18,630,510
2469,bottom2left-R2,1127,1501,965,-528,1595,-18,630,510
2485,bottom2left-R2,1076,1469,965,-528,1595,-18,630,510
2501,bottom2left-R2,1025,1438,965,-528,1595,-18,630,510
2516,bottom2left-R2,974,1406,965,-528,1595,-18,630,510
2532,bottom2left-R2,922,1374,965,-528,1595,-18,630,510
2548,bottom2left-R2,871,1342,965,-528,1595,-18,630,510
